Name,Country,Founded,Industry,Number_of_employees
Pacheco-Bruce,Ecuador,1982,Furniture,20
"Mckenzie, Mcclain and Benson",New Zealand,1973,Think Tanks,5644
Hodges-Rollins,Tanzania,1970,Mechanical or Industrial Engineering,8970
Baker-Sexton,Portugal,2007,Commercial Real Estate,2441
"Mckay, Cervantes and Blevins",Western Sahara,1977,Investment Management / Hedge Fund / Private Equity,9237
"Livingston, Stein and Byrd",India,2019,Internet,8578
Sweeney-Melendez,United Kingdom,1984,Newspapers / Journalism,4206
Vaughan LLC,Dominican Republic,2015,Banking / Mortgage,7755
Pitts Ltd,Georgia,1989,Public Relations / PR,2674
Drake LLC,Vanuatu,1971,Restaurants,9615
"Mcguire, Ritter and Warren",Tunisia,2006,Events Services,3329
"Ware, Smith and Mendez",Vietnam,1997,Venture Capital / VC,8518
"Glenn, Savage and Ewing",French Southern Territories,1981,Animation,6826
"Townsend, Richmond and Underwood",Congo,1973,Music,9915
"Mcpherson, Cameron and Whitehead",Azerbaijan,1978,Wine / Spirits,5942
Gross-Duncan,Somalia,2017,Cosmetics,723
Hutchinson-Leblanc,Tuvalu,2007,Wine / Spirits,1431
Caldwell-Atkins,Svalbard & Jan Mayen Islands,2000,Media Production,8706
"Castro, Moses and Wolfe",Antarctica (the territory South of 60 deg S),1997,Veterinary,2878
Branch-Cross,Guam,1990,Investment Banking / Venture,1228
"Chung, Patel and Moore",Ecuador,2008,Primary / Secondary Education,2928
Castro-Mercer,Jersey,1974,Industrial Automation,3308
Owens PLC,Sudan,2008,Legal Services,4343
"Goodwin, Callahan and Pratt",Nauru,1998,Architecture / Planning,7808
Stephens Group,Comoros,1983,Fundraising,953
"Davies, Sloan and Ashley",Malaysia,1989,Airlines / Aviation,4281
"Conner, Ferguson and Baxter",Tuvalu,2016,Biotechnology / Greentech,3528
"Freeman, Robbins and Joseph",Falkland Islands (Malvinas),1993,International Affairs,7067
Orr-Joseph,Congo,2001,Textiles,4375
Mills-Humphrey,Brazil,2017,Luxury Goods / Jewelry,3778
"Cameron, Osborn and Pollard",French Polynesia,2018,Mechanical or Industrial Engineering,2775
Young Inc,Costa Rica,2001,Computer Networking,3541
Lam Group,Kazakhstan,2006,Broadcast Media,2760
"Molina, Alexander and Reilly",Svalbard & Jan Mayen Islands,1993,Construction,765
Bush PLC,Taiwan,2016,Arts / Crafts,4505
"Novak, Mcguire and Copeland",Chad,2011,Packaging / Containers,8128
"Mullins, Cook and Webb",Lebanon,1998,Entertainment / Movie Production,4556
Costa PLC,Somalia,1982,Arts / Crafts,5077
Parker Ltd,Christmas Island,2009,Accounting,6947
Hickman LLC,Nigeria,2011,Industrial Automation,1282
Horton Inc,Serbia,2006,Food / Beverages,3599
Perez Inc,Haiti,2020,Paper / Forest Products,3215
Lucero-Rodriguez,Switzerland,1976,Defense / Space,9625
Boyd Group,Moldova,1995,Medical Equipment,7344
Pollard LLC,French Guiana,2013,Performing Arts,9329
Mckay Group,Indonesia,2021,Consumer Electronics,2304
"Moran, Nichols and Kelly",Solomon Islands,1970,Alternative Medicine,1124
"Franklin, Parsons and Mccoy",Mozambique,2004,Textiles,6962
Alvarez LLC,Seychelles,1973,Research Industry,5176
Ballard-Benjamin,Gambia,1984,Consumer Electronics,1339
"Byrd, Wallace and Bryan",Zimbabwe,1975,Package / Freight Delivery,5371
Hayden and Sons,Norfolk Island,2013,Hospital / Health Care,8746
"Hicks, Hall and Hopkins",Benin,1979,Writing / Editing,9652
Koch Group,Croatia,1994,Government Relations,6847
"Barajas, Hunt and Frye",Denmark,1980,Philanthropy,3233
Raymond-Rivers,Nicaragua,1995,Plastics,3836
"Newman, Medina and Luna",Korea,1971,Think Tanks,876
Schneider-Elliott,Bahamas,2021,Supermarkets,7306
"Mays, Robles and Shah",Cambodia,1989,Chemicals,9666
Huynh and Sons,Swaziland,1993,Furniture,1359
Gonzales-Schneider,Timor-Leste,1989,Oil / Energy / Solar / Greentech,687
Harding Inc,Pakistan,1986,Events Services,6891
Shelton PLC,Saudi Arabia,1973,Food Production,9909
"Elliott, Hood and Estrada",Ethiopia,2014,Automotive,3493
"Ayers, Pierce and Vang",Bahamas,1974,Professional Training,6594
"Cardenas, Brown and Melton",Thailand,1980,Hospitality,8328
Espinoza PLC,Colombia,1999,Construction,4441
"Levy, Carey and Carpenter",Moldova,2013,Real Estate / Mortgage,6334
Pugh-Sampson,French Southern Territories,1986,Wireless,9256
"Fuller, Beasley and Rivas",Tajikistan,1984,Mining / Metals,9432
Galloway-Williamson,Libyan Arab Jamahiriya,1975,Animation,1512
"Haney, Kirk and Cox",Marshall Islands,1985,Library,3975
Michael and Sons,Austria,1988,Museums / Institutions,3837
Lara-Andrews,United Arab Emirates,1978,Fundraising,2354
Harvey Inc,Singapore,1998,Maritime,4256
"Beltran, Flores and Kelley",Argentina,1970,Railroad Manufacture,1371
Hall Group,Greenland,1982,Construction,5969
Rocha-Snyder,Guatemala,1986,Machinery,2008
"Riley, Ortiz and Shelton",Peru,1988,Consumer Electronics,597
Keith-Mora,Uganda,1976,Music,1555
"Curry, Blake and Leblanc",Cayman Islands,1973,Think Tanks,2164
Olson-Mcconnell,Faroe Islands,1970,Medical Equipment,9170
Bowen Group,Ecuador,1980,Market Research,2179
"Choi, Daniels and Gay",Holy See (Vatican City State),2004,Food / Beverages,3410
"Esparza, Jimenez and Hendrix",Ukraine,2003,Events Services,9709
Collins Group,Netherlands Antilles,2008,Internet,9616
Morrow Inc,Pakistan,2011,Government Administration,9434
"Mercer, Arroyo and Camacho",Kyrgyz Republic,2018,Higher Education / Acadamia,5253
"Escobar, Gilmore and Mahoney",Kazakhstan,1988,International Trade / Development,5975
Garrett PLC,Uruguay,1994,Medical Practice,4965
"Owen, Hansen and Lynch",Venezuela,1984,Entertainment / Movie Production,5331
"Mcdaniel, Cunningham and Buck",Uruguay,2016,International Affairs,1346
Livingston-Short,Bahamas,1973,Warehousing,6921
Woodard Group,South Africa,1994,Ranching,1257
Hamilton LLC,Germany,2016,Mental Health Care,2495
"Alvarez, Mendoza and Trujillo",United States Minor Outlying Islands,1973,Packaging / Containers,3699
Ayers LLC,Aruba,1971,Wholesale,7898
"Sanchez, Berger and Richard",Switzerland,1977,Translation / Localization,6443
Clayton-Kelly,Kyrgyz Republic,2013,Writing / Editing,4691
Gibbs and Sons,Saint Martin,2014,Arts / Crafts,3052
"Copeland, Booth and Patrick",China,1975,Logistics / Procurement,1623
Cross PLC,Brazil,1976,Government Relations,3101
Chambers-Kemp,Algeria,2021,Accounting,4288
Estrada-Leon,Somalia,1973,Aviation / Aerospace,3615
"Freeman, Cooke and Wright",Saint Pierre and Miquelon,1997,Judiciary,3480
Davis-Dillon,Dominican Republic,2007,Computer / Network Security,6607
Mccann-Huang,Uganda,1986,Military Industry,3652
Roberts Group,Somalia,2021,Individual / Family Services,8534
Lynch Inc,Jersey,2011,Computer / Network Security,2050
Cohen LLC,Saint Vincent and the Grenadines,1983,Civic / Social Organization,8145
Farley LLC,United States Virgin Islands,2014,Judiciary,1055
Larson LLC,Lithuania,2011,Animation,2759
Lyons-Meyer,Turks and Caicos Islands,1999,Food Production,695
Conley PLC,Lithuania,1970,Internet,3095
"Serrano, Moses and Ho",Kenya,1974,Nanotechnology,5247
Hernandez Ltd,Indonesia,2003,Environmental Services,795
"Hoover, Johns and French",Myanmar,2015,Biotechnology / Greentech,5436
King Inc,Afghanistan,1985,Apparel / Fashion,6819
Mcclain Ltd,United Kingdom,1993,Information Technology / IT,6001
"Rojas, Andrews and Odonnell",Algeria,1981,Library,6429
"Hoover, Mack and Larsen",Mauritius,1995,Civic / Social Organization,4502
Rosales-Armstrong,Mexico,2019,Building Materials,3362
Newton LLC,Belarus,1997,Mental Health Care,3886
Griffin-Bauer,Russian Federation,1987,Security / Investigations,8587
Whitaker-Lara,Azerbaijan,1992,Glass / Ceramics / Concrete,8323
Arellano-Kemp,Saint Pierre and Miquelon,1971,Medical Equipment,1993
Henderson Group,Myanmar,1992,Think Tanks,2553
Simon-Decker,Israel,1976,Accounting,9686
"Snyder, Gordon and Merritt",Malawi,1982,Management Consulting,1982
Ward-Cox,Barbados,2009,Facilities Services,2996
"Mathis, Salazar and Ramsey",Indonesia,1995,Dairy,2781
Hobbs-Johnston,Guinea-Bissau,1994,Program Development,5840
Hunter-Kane,Cook Islands,2004,Individual / Family Services,346
Horn-Faulkner,Slovenia,2014,Medical Equipment,6495
Singh-Pace,Rwanda,1977,Broadcast Media,8318
Moss Inc,Grenada,1997,Electrical / Electronic Manufacturing,48
Tate Ltd,Guatemala,1993,Staffing / Recruiting,4118
Foster-Knapp,Uganda,2010,Cosmetics,2413
"Hoffman, Castillo and Oneal",Namibia,1985,Research Industry,2609
Maddox-Novak,Costa Rica,2009,Warehousing,4031
"Cordova, Huerta and Barry",Saint Martin,1983,Research Industry,7118
Horn-Blake,Hungary,2017,Dairy,4156
"Reynolds, Hays and Hampton",Niger,2014,Semiconductors,3752
Holloway LLC,Malawi,2019,Investment Banking / Venture,561
"Kelley, Nash and Burns",Saint Helena,2002,Printing,2913
Jacobs-Sawyer,Cape Verde,1993,Maritime,3118
Russo-Cameron,Indonesia,2012,Apparel / Fashion,5680
Cain Group,Niue,1994,Supermarkets,9505
Shea-Peck,Saint Helena,2005,Alternative Medicine,8338
Grimes PLC,Korea,2005,Civil Engineering,3070
Hopkins-Wood,Croatia,1987,Pharmaceuticals,3160
"Hobbs, Evans and Holder",Italy,2001,Aviation / Aerospace,8461
Fletcher PLC,Grenada,1993,Logistics / Procurement,5184
Macias-Roth,Hungary,1988,Defense / Space,6796
"Guerra, Mays and Alvarado",India,2019,Fine Art,1971
Whitaker Group,Chad,2005,Computer Software / Engineering,7007
Fritz Ltd,Kazakhstan,1975,Graphic Design / Web Design,7020
Knapp-Maldonado,Christmas Island,2013,E - Learning,6143
Robinson PLC,Canada,2003,Broadcast Media,1310
Adkins-Walters,Malawi,1994,Sports,1790
Wu-Murray,Pitcairn Islands,2008,Veterinary,728
Foster Inc,France,1981,Legislative Office,7348
"Arellano, Moran and Conway",Papua New Guinea,1976,Food / Beverages,4941
Todd-Mccarty,Guinea-Bissau,1984,Performing Arts,1416
Lee-Marks,Costa Rica,1985,Marketing / Advertising / Sales,3511
"Watkins, Russo and Henry",Turkmenistan,2015,Real Estate / Mortgage,2401
Dixon Inc,Guinea-Bissau,2013,Utilities,7607
Watkins Group,Guernsey,2005,Mental Health Care,9013
Kirk-Moody,Cameroon,1971,Government Administration,4110
Larson Ltd,Gabon,2014,Wireless,5197
Perez Group,Comoros,2007,Wine / Spirits,8889
Charles Inc,New Zealand,2011,Utilities,7014
Green-Frye,Uzbekistan,2011,Computer Networking,7776
Banks PLC,Greece,2003,Machinery,7919
"Hood, Evans and Waters",Austria,2006,Medical Equipment,6998
Roberson-Bailey,Maldives,2006,Political Organization,4131
Hurley-Marquez,Sudan,2017,Telecommunications,3313
Macdonald PLC,Ethiopia,1975,Events Services,6603
Salas and Sons,Iran,1991,Food Production,2668
"Howe, Byrd and Owens",Australia,2010,Financial Services,7597
Acosta-Lam,Finland,1991,Oil / Energy / Solar / Greentech,4437
Crane PLC,Gibraltar,2015,Information Services,6357
"English, Oneal and Savage",Nicaragua,1989,Dairy,3209
"Carey, Moss and Bolton",Timor-Leste,2020,Graphic Design / Web Design,2613
Caldwell Ltd,Tonga,1978,Entertainment / Movie Production,5260
Maddox Ltd,Malawi,2011,Individual / Family Services,5972
Byrd Inc,Jordan,2016,Computer Games,3182
Williams-Pennington,Greenland,1972,Packaging / Containers,4484
"Schaefer, Graham and Valdez",United Arab Emirates,2010,Chemicals,1681
Oconnell-Ponce,Uzbekistan,1999,Alternative Dispute Resolution,6702
Schroeder LLC,Kenya,1979,Transportation,1185
Horn-Pace,Vanuatu,1998,Outsourcing / Offshoring,6162
Donovan-Carson,Pakistan,2013,Human Resources / HR,7498
Pittman-Buchanan,United States of America,1988,Farming,3610
"Bridges, Velez and Rivera",New Zealand,1993,Media Production,8480
Michael-Lee,Andorra,2004,Law Practice / Law Firms,8506
Alvarado-Anthony,Cape Verde,1978,Outsourcing / Offshoring,28
"Dunlap, Mccullough and Pittman",Israel,2014,Dairy,8217
Petty Ltd,Sao Tome and Principe,2013,Business Supplies / Equipment,7455
"Flowers, Levy and Wallace",United States Minor Outlying Islands,1976,Chemicals,1831
Brooks Inc,Spain,1976,Medical Equipment,4320
Hanna PLC,French Southern Territories,1987,Sports,7806
Thompson Ltd,Andorra,1980,Chemicals,6676
Hendricks PLC,Grenada,1981,Defense / Space,4680
Houston-Ayala,Anguilla,2020,Legislative Office,4704
Palmer-Stokes,Denmark,2016,Civic / Social Organization,3242
Avila-Nelson,Lesotho,2012,Cosmetics,2235
Bird and Sons,Nepal,1977,Biotechnology / Greentech,7050
"York, Harding and Huerta",Vietnam,2021,Public Relations / PR,6532
Graham Ltd,Greece,1979,Logistics / Procurement,5786
"Dunlap, Moss and Dixon",Estonia,1976,Information Services,2874
Norman-Hoffman,Yemen,2016,Banking / Mortgage,2080
Allison PLC,France,1993,Maritime,1545
Parrish Group,British Indian Ocean Territory (Chagos Archipelago),2019,Hospital / Health Care,1
Gardner Ltd,Bahrain,1970,Religious Institutions,3702
Everett-Frederick,Palau,2002,Executive Office,5890
Kaiser-Newman,Wallis and Futuna,1990,Wireless,8323
"Morris, Villegas and English",Kenya,2021,Sporting Goods,9089
"Nichols, Dawson and Holloway",Uruguay,2009,Venture Capital / VC,2198
Sharp and Sons,China,2010,Investment Management / Hedge Fund / Private Equity,2828
Mann PLC,Palau,1995,Food Production,5799
House-Mueller,Mayotte,2015,Printing,1859
"Bright, Randolph and Romero",Namibia,1987,Sporting Goods,1904
Howe Group,Lesotho,1987,Newspapers / Journalism,2895
Mills-Clements,Kenya,1988,Public Relations / PR,8674
Edwards Ltd,Ghana,1997,Military Industry,5943
Dougherty-Tate,Honduras,1991,Food Production,8318
Hill-Ramirez,Niue,2013,Veterinary,4736
"Frost, Zimmerman and Vargas",Macedonia,1978,Events Services,4953
"Conway, Case and Rowland",Vanuatu,1983,Investment Banking / Venture,3026
Combs-Romero,Suriname,2019,Computer / Network Security,7903
Mccall-Flowers,France,2013,Sports,4243
"Hart, Kent and Hurley",Timor-Leste,2010,Media Production,2836
Curry Group,Monaco,1978,Paper / Forest Products,2190
"Hinton, Lucero and Hancock",Cameroon,2003,Medical Equipment,5594
Daniels Ltd,Togo,2000,Mining / Metals,7702
Cline Inc,Argentina,2009,Translation / Localization,8887
Guerrero Group,Azerbaijan,2014,Civil Engineering,3313
"Humphrey, Holloway and Lutz",Gabon,1982,Museums / Institutions,1419
"Best, Mckay and Guerrero",Chad,2020,Building Materials,871
"Ayers, Andrews and Branch",Ukraine,2009,Online Publishing,934
Holland Group,Estonia,1979,Paper / Forest Products,7664
Saunders-Fitzgerald,Zimbabwe,1979,Think Tanks,6956
Walls-Guerra,Ukraine,1999,Textiles,5701
Kline-Sampson,Guam,1973,Arts / Crafts,2185
"Moyer, Miranda and Fleming",Sierra Leone,2019,Staffing / Recruiting,3482
Mcmahon PLC,Haiti,2012,Automotive,8491
Mendoza PLC,Kiribati,1986,Telecommunications,4233
"Byrd, Baker and Walsh",Nigeria,2005,Facilities Services,1786
Wagner-Lawrence,Denmark,1976,Law Practice / Law Firms,5799
Tate PLC,Georgia,2020,Machinery,9286
Moyer-Benson,Zambia,1985,Wireless,6993
"Rush, Wilson and Vaughan",Moldova,1974,Food / Beverages,168
"Mayer, Rios and Dunn",Tonga,1981,Wireless,2170
Ramos Group,Suriname,1997,Wireless,8627
Dickerson-Taylor,Cape Verde,1981,Venture Capital / VC,4679
"Roth, Rojas and Mora",Mauritania,2007,Law Practice / Law Firms,7262
Vaughn-Tran,Serbia,1976,Online Publishing,1018
Williams Group,Micronesia,1975,Consumer Goods,3327
"Parsons, Bishop and Joseph",Colombia,2014,Shipbuilding,6864
Thornton-Houston,Honduras,1983,Publishing Industry,6436
Waller-Baker,Saint Helena,2017,Printing,2468
Kerr PLC,Germany,1993,Animation,7096
"David, Whitaker and Sweeney",Lao People's Democratic Republic,1972,Law Enforcement,3123
"Levine, Buchanan and Lara",Romania,1971,Shipbuilding,38
"Rocha, Henson and Gutierrez",Germany,1986,Library,3842
"Crosby, Villa and Rich",United States Minor Outlying Islands,2004,Renewables / Environment,3686
Skinner PLC,Anguilla,2006,Legal Services,485
Bowen-Shaw,Cook Islands,1987,Medical Equipment,1243
"Graves, Hogan and Bryan",Puerto Rico,1982,Dairy,2856
George-Ramirez,Mexico,2018,International Trade / Development,522
Schroeder-Powell,Uruguay,1998,Facilities Services,8061
"Trevino, Lawson and Avila",Philippines,1992,Package / Freight Delivery,4201
Duarte-Boone,Sierra Leone,2010,Gambling / Casinos,1363
Jacobson Inc,Peru,2016,Broadcast Media,451
Sparks-Savage,Macao,1995,Electrical / Electronic Manufacturing,9288
Herring-Kline,Solomon Islands,2006,Consumer Services,2983
Garner-Hoover,Indonesia,1981,Information Services,6405
Schaefer Ltd,British Indian Ocean Territory (Chagos Archipelago),1983,Leisure / Travel,5199
"Peters, Booker and Ramirez",Korea,1976,Newspapers / Journalism,4559
Cantrell-Glover,Aruba,1970,Facilities Services,313
Trujillo-Copeland,Taiwan,2009,Shipbuilding,2258
Acosta LLC,Egypt,1987,Maritime,2378
Romero Ltd,Montserrat,2021,Glass / Ceramics / Concrete,4366
Esparza Inc,Isle of Man,1973,Government Relations,9246
Richard-Conway,Lao People's Democratic Republic,1988,Fundraising,9510
"Santiago, Colon and Castaneda",Iraq,1972,Other Industry,4864
"Holloway, Kaufman and Cross",United States Minor Outlying Islands,1976,Arts / Crafts,9728
Ward-Hull,Nigeria,1992,Legislative Office,1820
"Gamble, Golden and Bauer",Yemen,2004,Veterinary,123
Small-Peters,Russian Federation,1970,Computer Hardware,9212
Zamora-Bryan,Seychelles,1997,Food / Beverages,5592
Fisher-Golden,Myanmar,2003,Medical Practice,3274
"Ellis, Gutierrez and Bush",Papua New Guinea,2013,Real Estate / Mortgage,4414
"Bray, Boyle and Morrison",Tunisia,1978,Investment Banking / Venture,6353
Osborn-Howard,Liberia,1999,Newspapers / Journalism,1133
"Rollins, Hoffman and Bender",Niger,1992,Library,5599
Gallagher-Patel,Central African Republic,1984,Computer / Network Security,9633
"Jarvis, Patrick and Farmer",Sri Lanka,1987,Warehousing,7563
Smith-Terrell,Cameroon,2003,Mental Health Care,404
"Esparza, Lyons and Diaz",Botswana,1976,Library,9231
Nichols-Maynard,Martinique,1977,Photography,779
"Mcintyre, Williams and Gray",Germany,2012,Industrial Automation,6366
Sexton Ltd,Tajikistan,1984,Environmental Services,3590
Wilson-Garrett,Denmark,1975,Photography,3238
Finley-Sloan,Bangladesh,2013,Graphic Design / Web Design,5042
"Moon, Hendrix and Morton",Sao Tome and Principe,2009,Fishery,2131
Finley Ltd,Portugal,2000,Recreational Facilities / Services,728
Rojas-Castro,Saint Martin,1981,Construction,8201
Wang-Holloway,Germany,1992,Computer Games,4447
Collier-Howe,American Samoa,1972,Education Management,1416
Wilkins-Bright,Philippines,1979,Restaurants,751
Larson and Sons,Jersey,1970,Real Estate / Mortgage,3786
"Davidson, Church and Sutton",Yemen,1984,Maritime,9719
"Olsen, Oneal and Benton",Maldives,1983,International Affairs,6078
Lin-Weiss,Luxembourg,1976,Cosmetics,2363
"Clements, Hahn and Stark",Cambodia,1975,Hospitality,7663
Huang-Ochoa,Guadeloupe,2008,Apparel / Fashion,6839
Garza-Obrien,Nepal,2014,Machinery,1137
"Lin, Rasmussen and Graves",Bahrain,1997,Business Supplies / Equipment,6903
Huerta PLC,Gambia,1970,Dairy,4337
Lawson Ltd,Mauritius,1985,Machinery,4988
